Name,Feature,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Holding Styles,Max,802,ETC50,100.0,100.0,100.0,100.0,0.20916128158569336,0.4,0.61
Holding Styles,Max,802,ETC25,100.0,100.0,100.0,100.0,0.11959052085876465,0.4,0.52
Holding Styles,Max,802,ETC10,100.0,100.0,100.0,100.0,0.06418418884277344,0.4,0.46
Holding Styles,Max,802,RFC100,100.0,100.0,100.0,100.0,0.9519014358520508,0.4,1.35
Holding Styles,Max,802,RFC50,100.0,100.0,100.0,100.0,0.491300106048584,0.4,0.89
Holding Styles,Max,802,RFC25,100.0,100.0,100.0,100.0,0.2624192237854004,0.4,0.66
Holding Styles,Max,802,RFC10,100.0,100.0,100.0,100.0,0.12584424018859866,0.4,0.53
Holding Styles,Min,802,DT,100.0,100.0,100.0,100.0,0.05719923973083496,0.4,0.46
Holding Styles,Min,802,KNN3,100.0,100.0,100.0,100.0,0.03792524337768555,0.4,0.44
Holding Styles,Min,802,KNN7,100.0,100.0,100.0,100.0,0.03798103332519531,0.4,0.44
Holding Styles,Min,802,ETC100,100.0,100.0,100.0,100.0,0.394437313079834,0.4,0.79
Holding Styles,Min,802,ETC50,100.0,100.0,100.0,100.0,0.2170846462249756,0.4,0.62
Holding Styles,Min,802,ETC25,100.0,100.0,100.0,100.0,0.11919856071472168,0.4,0.52
Holding Styles,Min,802,ETC10,100.0,100.0,100.0,100.0,0.07031965255737305,0.4,0.47
Holding Styles,Min,802,RFC100,100.0,100.0,100.0,100.0,0.9985427856445312,0.4,1.4
Holding Styles,Min,802,RFC50,100.0,100.0,100.0,100.0,0.5155537128448486,0.4,0.92
Holding Styles,Min,802,RFC25,100.0,100.0,100.0,100.0,0.2697882652282715,0.4,0.67
Holding Styles,Min,802,RFC10,99.99,99.99,99.99,99.99,0.1274244785308838,0.4,0.53
Holding Styles,Mean,802,DT,100.0,100.0,100.0,100.0,0.06644558906555176,0.4,0.47
Holding Styles,Mean,802,KNN3,100.0,100.0,100.0,100.0,0.03940582275390625,0.4,0.44
Holding Styles,Mean,802,KNN7,100.0,100.0,100.0,100.0,0.039564847946166985,0.4,0.44
Holding Styles,Mean,802,ETC100,100.0,100.0,100.0,100.0,0.40824127197265625,0.4,0.81
Holding Styles,Mean,802,ETC50,100.0,100.0,100.0,100.0,0.21715354919433594,0.4,0.62
Holding Styles,Mean,802,ETC25,100.0,100.0,100.0,100.0,0.11966919898986815,0.4,0.52
Holding Styles,Mean,802,ETC10,100.0,100.0,100.0,100.0,0.06534814834594728,0.4,0.47
Holding Styles,Mean,802,RFC100,100.0,100.0,100.0,100.0,1.0222666263580322,0.4,1.42
Holding Styles,Mean,802,RFC50,100.0,100.0,100.0,100.0,0.5187046527862549,0.4,0.92
Holding Styles,Mean,802,RFC25,100.0,100.0,100.0,100.0,0.27834606170654297,0.4,0.68
Holding Styles,Mean,802,RFC10,100.0,100.0,100.0,100.0,0.13332748413085938,0.4,0.53
