Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,LiAx,LiAy,LiAz,P,Value,Type,GroupType
22.16,5.4537053,-6.42516,2.1277733,-0.39594105,-1.2419041000000002,0.25850406,-13.392185999999999,39.05423,-24.661682,0.6997247,-1.7837738999999997,-1.075242,989.9683,1,1.0,1
22.2,7.420588499999999,-6.3441285999999995,1.7916299999999998,-0.40592787,-0.58290553,0.08060507,-13.724045000000002,39.427772999999995,-23.785574,-0.23645973,0.5375819000000001,0.19086576,989.915,1,1.0,1
22.24,6.7036114,-6.255947,0.5914579000000001,-0.8615944,-0.15387069,-0.25721657,-14.57059,40.215183,-23.316277,-0.19011879,-1.3201222,0.523576,989.91254,1,1.0,1
22.28,6.691655,-5.96042,0.8281776,-0.89315265,0.25678843,-0.24336815,-14.718641,40.918163,-21.333004000000003,0.5524564000000001,-1.0441108000000001,0.23522192,989.95795,1,1.0,1
22.32,8.584453,-5.586245,0.4446902,-0.44880453,1.0746444,-0.19330075,-13.860707999999999,41.51125,-22.192772,-1.7836428,-0.33597326,0.86315036,989.948,1,1.0,1
22.36,7.255659599999999,-6.9899960000000005,1.7963622,-0.44880453,1.0746444,-0.19330075,-13.860707999999999,41.51125,-22.192772,-0.3363409,0.4134946,-0.17812276,989.948,1,1.0,1
22.4,6.820691,-6.4251595,1.7584863000000002,-0.00419011,1.7010193,-0.38291759999999997,-12.989544,40.167286,-22.402342,-0.24732113,-0.43503857,0.42198896,989.97565,1,1.0,1
22.44,6.039187,-6.758817999999999,2.6154127000000003,-0.045202635,2.0606792,-0.44243917,-10.145361,40.249817,-23.615294,0.7144746999999999,0.35594509999999996,0.26431155,989.99585,1,1.0,1
22.48,6.976022200000001,-6.0200014,2.9657583,0.084493265,1.5233866000000003,-0.5087518,-8.987148,39.54392,-24.753262,-0.19848585,-0.16696405,-0.07248616,989.9555,1,1.0,1
22.52,6.383319999999999,-6.439458999999999,4.146992,0.0035332959999999996,1.2902272,-0.43511546,-8.85304,39.828114,-25.714367000000003,0.31705523,0.13227654,-0.62373614,989.99817,1,1.0,1
22.56,7.1791506,-5.969951999999999,3.9386778,0.033227578,0.9373584999999999,-0.34030694,-7.9003233999999996,39.666664000000004,-25.85173,-0.8638673000000001,-0.30798626,-0.04066372,989.9502,1,1.0,1
22.6,6.4287157,-5.993785,3.7824416,0.033227578,0.9373584999999999,-0.34030694,-7.9003233999999996,39.666664000000004,-25.85173,-0.24041748,-0.38537455,0.12233996400000001,989.9502,1,1.0,1
22.64,6.4215403,-5.819805000000001,3.9434104,0.10872826,0.33721575,-0.23963949,-7.677136999999999,38.29592,-26.806713000000002,-0.401134,-0.25338364,-0.049743652,989.93256,1,1.0,1
22.68,6.959261,-5.579094,3.9363084,0.10872826,0.33721575,-0.23963949,-7.677136999999999,38.29592,-26.806713000000002,-0.6738453000000001,-0.45006179999999996,-0.103919506,989.93256,1,1.0,1
22.72,6.4573754999999995,-5.8055053,3.9931207000000004,0.07823521,0.18554881,-0.14203468,-7.6995535,38.591576,-27.74437,0.18311262,-0.29622126,0.093737125,989.94006,1,1.0,1
22.76,6.8110743000000005,-5.4146475999999994,4.480764,0.07823521,0.18554881,-0.14203468,-7.6995535,38.591576,-27.74437,-0.26584578,-0.681829,-0.11904144,989.94006,1,1.0,1
22.8,6.550568599999999,-6.0390663,4.2795510000000005,0.09794264,0.029088218,-0.001020387,-8.137988,38.813359999999996,-27.997722999999997,0.21235561,0.4211197,-0.711051,989.9097,1,1.0,1
22.84,6.629429300000001,-5.8174209999999995,4.402645,-0.06650735,0.09406928,0.13306968,-7.665909,39.150203999999995,-28.32113,-0.07525921,-0.59710264,0.57953167,989.9046599999999,1,1.0,1
22.88,7.143252400000001,-5.912751999999999,3.8771253,0.27131438,-0.45653877,0.12547971,-7.8556433000000006,39.341095,-27.995127,-0.73397684,-0.5461216,1.0428369,989.8721,1,1.0,1
22.92,6.7775908,-5.798354,4.3387294,-0.25492570000000003,0.65266687,0.3142977,-6.0232586999999995,39.73946,-27.453974,-0.47466803,-0.7054219,0.49296546,989.83386,1,1.0,1
22.96,6.555323599999999,-6.146313,4.480761,-0.19926564,0.5219057,0.15530716,-6.031954,40.46867,-27.26435,-0.26614475,0.5921911999999999,-0.40452194,989.8519,1,1.0,1
23.0,6.634500500000001,-5.655365,4.1328106,-0.024695517,-0.0960803,-0.056014485999999995,-6.810997,40.16065,-27.203262,-0.01771164,-0.35475302,0.05783367,990.0034,1,1.0,1
23.04,6.6751356,-5.948509,4.386101999999999,0.16598596,-0.54309136,-0.16986482,-6.9989643,39.35259,-27.280983000000003,-0.09420061,0.088869095,-0.040278435,990.0691,1,1.0,1
23.08,6.699040400000001,-6.3226843,4.379001000000001,-0.006189535,0.083816566,-0.030316278,-6.9129004,38.906963,-28.191982,-0.32002354,0.5382786,-0.36965370000000003,990.06934,1,1.0,1
23.12,6.722946,-5.969958999999999,4.338759,0.047872532,-0.18036878,-0.054284732999999995,-7.381636599999999,39.205203999999995,-27.598312,-0.24773598,0.23405647,-0.47628164,990.0415,1,1.0,1
23.16,6.718172999999999,-6.451381700000001,4.142282,0.26611835,-0.68437153,-0.037107382,-8.032689,37.96322,-27.117378000000002,0.16402912,0.8277669,-0.18103075,990.0338,1,1.0,1
23.2,6.268878,-6.9232707,3.8156084999999997,-0.038014464,-0.32338038,0.21549322,-7.807789,38.332423999999996,-28.097446,0.48419046,0.88011503,0.07988715,989.96045,1,1.0,1
23.24,6.5963,-7.4428253,3.9150313999999997,-0.08448665,0.18594876,0.42175484,-7.0279050000000005,38.904297,-27.635214,-0.114730835,0.92443323,-0.28627706,989.9677,1,1.0,1
23.28,4.476464,-5.731631299999999,3.4557947999999996,0.23003234,-0.59808517,0.51523167,-7.3304405,38.83162,-27.430374,1.3748941000000001,-0.44783354,0.011770963999999998,989.9502,1,1.0,1
23.32,6.0920440000000005,-5.1262794000000005,3.6759453,0.5268413000000001,-0.99462956,1.1246955,-6.616452000000001,38.97375,-28.087605,1.1735859,-1.3380466,0.28675985,989.96783,1,1.0,1
23.36,7.5690100000000005,-4.6758394,2.76694,0.08861848,-0.5521457,1.2156421999999998,-5.570039700000001,38.794353,-27.699463,-1.3669443000000001,-1.4883571000000002,0.20264292,989.93787,1,1.0,1
23.4,7.361094500000001,-5.6506004,3.564688,0.35293695,-1.264008,0.500451,-6.2667427,38.300133,-27.794138,-1.6247348999999998,-1.7625685000000002,-0.250628,989.96295,1,1.0,1
23.44,6.8520517000000005,-6.6134452999999995,3.1291232000000004,0.002465181,-0.8741216,0.07807405,-7.587049499999999,38.223009999999995,-28.048077000000003,-0.44748497,-0.18154907,-0.3269229,989.9607,1,1.0,1
